Timestamp,Consent Agreement,1. Primary Role:,2. Academic Level (if student):,3. Name/Location of the university you are currently teaching/studying at?,4. Field of Study / Department:,System Evaluation Statements [1. I think that I would like to use this system frequently.],System Evaluation Statements [2. I found the system unnecessarily complex.],System Evaluation Statements [3. I thought the system was easy to use.],System Evaluation Statements [4. I think that I would need the support of a technical person to be able to use this system.],System Evaluation Statements [5. I found the various functions in this system were well integrated.],System Evaluation Statements [6. I thought there was too much inconsistency in this system.],System Evaluation Statements [7. I would imagine that most people would learn to use this system very quickly.],System Evaluation Statements [8. I found the system very cumbersome/awkward to use.],System Evaluation Statements [9. I felt very confident using the system.],System Evaluation Statements [10. I needed to learn a lot of things before I could get going with this system.],11. Was there anything about the prototype that felt confusing or frustrating?,12. Was there anything you particularly liked about having everything in one place?,"1. During the walkthrough, were you able to find where course announcements are posted?","2. During the walkthrough, were you able to find where to send a message to a classmate or instructor?","3. Compared to switching between your current LMS and messaging apps, how would you rate the ease of finding information in this prototype?"
8/30/2026 12:11:45,"I have read the above information and voluntarily agree to participate, including being recorded as described above.",Student,3rd Year,Brac University ,Computer science ,Strongly Agree (5),Disagree (2),Strongly Agree (5),Strongly Disagree (1),Strongly Agree (5),Strongly Disagree (1),Strongly Agree (5),Neutral (3),Strongly Agree (5),Strongly Disagree (1),no all the features are well integrated ,it was easy to use,Yes,Yes,Much easier
8/30/2026 12:12:00,"I have read the above information and voluntarily agree to participate, including being recorded as described above.",Student,3rd Year,BRAC UNIVERSITY ,CS,Neutral (3),Neutral (3),Neutral (3),Neutral (3),Neutral (3),Neutral (3),Neutral (3),Neutral (3),Neutral (3),Neutral (3),,,Yes,Yes,About the same
8/30/2026 12:12:12,"I have read the above information and voluntarily agree to participate, including being recorded as described above.",Student,4th Year,Brac,Cse,Neutral (3),Disagree (2),Agree (4),Strongly Disagree (1),Agree (4),Disagree (2),Agree (4),Strongly Disagree (1),Agree (4),Disagree (2),No but it is very similar to google classroom,It is convenient,Yes,Yes,About the same
8/30/2026 12:12:30,"I have read the above information and voluntarily agree to participate, including being recorded as described above.",Student,4th Year,BRACU,CSE ,Strongly Disagree (1),Strongly Disagree (1),Strongly Disagree (1),Strongly Disagree (1),Strongly Disagree (1),Strongly Disagree (1),Strongly Disagree (1),Strongly Disagree (1),Strongly Disagree (1),Strongly Disagree (1),Not at all,It was really convenient ,Yes,Yes,Somewhat easier
8/30/2026 12:12:54,"I have read the above information and voluntarily agree to participate, including being recorded as described above.",Student,4th Year,BRAC University ,CSE,Strongly Agree (5),Strongly Disagree (1),Strongly Agree (5),Strongly Disagree (1),Strongly Agree (5),Strongly Disagree (1),Agree (4),Strongly Disagree (1),Strongly Agree (5),Strongly Disagree (1),No. ,"Yes. Each student had their own privacy system, which I liked a lot. ",Yes,Yes,Much easier
8/30/2026 12:13:06,"I have read the above information and voluntarily agree to participate, including being recorded as described above.",Student,4th Year,Badda,CSE,Agree (4),Neutral (3),Neutral (3),Neutral (3),Neutral (3),Disagree (2),Agree (4),Agree (4),Agree (4),Neutral (3),No,No,Unsure,Unsure,Somewhat easier
8/30/2026 12:13:56,"I have read the above information and voluntarily agree to participate, including being recorded as described above.",Student,4th Year,BRAC University ,Computer Science ,Neutral (3),Disagree (2),Agree (4),Disagree (2),Agree (4),Neutral (3),Agree (4),Disagree (2),Agree (4),Neutral (3),No,Overall it was a good experience ,Yes,Yes,Somewhat easier
8/30/2026 12:14:10,"I have read the above information and voluntarily agree to participate, including being recorded as described above.",Student,3rd Year,BRAC UNIVERSITY ,Computer Science ,Neutral (3),Disagree (2),Neutral (3),Disagree (2),Neutral (3),Disagree (2),Neutral (3),Strongly Disagree (1),Neutral (3),Neutral (3),,,Yes,Yes,Much easier
8/30/2026 12:14:16,"I have read the above information and voluntarily agree to participate, including being recorded as described above.",Student,4th Year,"BRAC University, Merul Badda, Dhaka.",CSE,Agree (4),Neutral (3),Neutral (3),Disagree (2),Agree (4),Strongly Disagree (1),Agree (4),Disagree (2),Agree (4),Disagree (2),"I guess there is a prototype demonstration needed here, then It'll be easier to use.",I liked the concept overall,Yes,Yes,Somewhat easier
8/30/2026 12:14:29,"I have read the above information and voluntarily agree to participate, including being recorded as described above.",Student,4th Year,Brac University ,CSE,Neutral (3),Disagree (2),Agree (4),Strongly Disagree (1),Agree (4),Disagree (2),Agree (4),Strongly Disagree (1),Agree (4),Strongly Disagree (1),"no, its pretty similar to Google classroom ","yes, easy to keep track of resources and deadlines.",Yes,Yes,About the same
8/30/2026 12:16:33,"I have read the above information and voluntarily agree to participate, including being recorded as described above.",Student,3rd Year,Brac University ,CS,Strongly Agree (5),Agree (4),Agree (4),Agree (4),Agree (4),Disagree (2),Agree (4),Disagree (2),Agree (4),Disagree (2),No,Yes ,Unsure,Yes,About the same
8/30/2026 12:18:56,"I have read the above information and voluntarily agree to participate, including being recorded as described above.",Student,4th Year,Brac University ,CSE,Neutral (3),Neutral (3),Neutral (3),Neutral (3),Neutral (3),Neutral (3),Neutral (3),Disagree (2),Neutral (3),Neutral (3),No,Yes,Yes,Yes,Somewhat easier
8/30/2026 13:41:04,"I have read the above information and voluntarily agree to participate, including being recorded as described above.",Student,2nd Year,Brac University ,Cse,Strongly Agree (5),Strongly Disagree (1),Strongly Agree (5),Strongly Agree (5),Strongly Agree (5),Neutral (3),Agree (4),Strongly Disagree (1),Strongly Agree (5),Disagree (2),,,Yes,No,Somewhat harder
8/30/2026 13:41:51,"I have read the above information and voluntarily agree to participate, including being recorded as described above.",Student,4th Year,BRAC University ,CSE,Disagree (2),Disagree (2),Strongly Disagree (1),Disagree (2),Disagree (2),Strongly Disagree (1),Disagree (2),Strongly Disagree (1),Disagree (2),Disagree (2),Yes,No,Yes,Yes,About the same
8/30/2026 13:42:10,"I have read the above information and voluntarily agree to participate, including being recorded as described above.",Student,3rd Year,Brac university ,CS ,Strongly Disagree (1),Strongly Disagree (1),Strongly Disagree (1),Disagree (2),Disagree (2),Strongly Disagree (1),Strongly Disagree (1),Strongly Disagree (1),Disagree (2),Disagree (2),,,Yes,Unsure,Much harder
8/30/2026 13:43:36,"I have read the above information and voluntarily agree to participate, including being recorded as described above.",Student,3rd Year,S.A.M.Rakibul Haider,CSE,Strongly Disagree (1),Strongly Disagree (1),Strongly Disagree (1),Strongly Disagree (1),Strongly Disagree (1),Strongly Disagree (1),Strongly Disagree (1),Strongly Disagree (1),Strongly Disagree (1),Strongly Disagree (1),No,,Yes,Yes,Much harder
8/30/2026 13:43:51,"I have read the above information and voluntarily agree to participate, including being recorded as described above.",Student,3rd Year,BRAC university,CSE Department,Neutral (3),Strongly Agree (5),Neutral (3),Disagree (2),Neutral (3),Neutral (3),Strongly Agree (5),Agree (4),Agree (4),Strongly Agree (5),,,No,No,Somewhat harder
8/30/2026 13:44:49,"I have read the above information and voluntarily agree to participate, including being recorded as described above.",Student,3rd Year,Brac ,CSE,Neutral (3),Neutral (3),Agree (4),Agree (4),Agree (4),Agree (4),Agree (4),Agree (4),Agree (4),Agree (4),No,No,Yes,Yes,About the same
8/30/2026 13:45:18,"I have read the above information and voluntarily agree to participate, including being recorded as described above.",Student,3rd Year,Brac University ,CS,Neutral (3),Neutral (3),Neutral (3),Neutral (3),Neutral (3),Neutral (3),Neutral (3),Neutral (3),Neutral (3),Neutral (3),,,Yes,Yes,Much easier
8/30/2026 13:45:32,"I have read the above information and voluntarily agree to participate, including being recorded as described above.",Student,3rd Year,BRAC University,CSE,Strongly Agree (5),Strongly Disagree (1),Strongly Agree (5),Strongly Disagree (1),Strongly Agree (5),Disagree (2),Agree (4),Disagree (2),Agree (4),Strongly Disagree (1),,,Yes,Yes,Much easier
8/30/2026 13:45:44,"I have read the above information and voluntarily agree to participate, including being recorded as described above.",Student,3rd Year,BRACU,CSE,Strongly Agree (5),Strongly Disagree (1),Strongly Agree (5),Strongly Disagree (1),Strongly Agree (5),Strongly Disagree (1),Strongly Agree (5),Strongly Disagree (1),Strongly Agree (5),Strongly Disagree (1),No,It is just like Google classroom,Yes,Yes,Much easier
8/30/2026 13:46:01,"I have read the above information and voluntarily agree to participate, including being recorded as described above.",Student,2nd Year,BRAC UNIVERSITY ,Computer science ,Strongly Agree (5),Neutral (3),Strongly Agree (5),Strongly Disagree (1),Agree (4),Disagree (2),Strongly Agree (5),Disagree (2),Strongly Agree (5),Strongly Disagree (1),Not really.,I like how I don't have to check multiple platforms.,Yes,Yes,Much easier
8/30/2026 13:46:15,"I have read the above information and voluntarily agree to participate, including being recorded as described above.",Student,2nd Year,BRAC University ,CS,Agree (4),Disagree (2),Agree (4),Disagree (2),Agree (4),Disagree (2),Agree (4),Disagree (2),Neutral (3),Strongly Disagree (1),It looked quite similar to google classroom.,Not really.,Yes,Yes,Somewhat easier
8/30/2026 13:46:26,"I have read the above information and voluntarily agree to participate, including being recorded as described above.",Student,2nd Year,BRAC,Computer Science Engineering ,Agree (4),Neutral (3),Agree (4),Disagree (2),Agree (4),Disagree (2),Agree (4),Disagree (2),Agree (4),Disagree (2),No,Easy and well organized access,Yes,Unsure,About the same
8/30/2026 13:46:43,"I have read the above information and voluntarily agree to participate, including being recorded as described above.",Teacher / Faculty,2nd Year,Brac University ,Cse,Neutral (3),Disagree (2),Neutral (3),Disagree (2),Agree (4),Disagree (2),Agree (4),Disagree (2),Neutral (3),Neutral (3),No,,Yes,Yes,Somewhat easier
8/30/2026 13:46:50,"I have read the above information and voluntarily agree to participate, including being recorded as described above.",Student,4th Year,BRAC UNIVERSITY ,CSE,Agree (4),Disagree (2),Neutral (3),Agree (4),Agree (4),Agree (4),Strongly Agree (5),Disagree (2),Neutral (3),Agree (4),No confusion,The convenience ,Yes,Yes,Much easier
8/30/2026 13:46:53,"I have read the above information and voluntarily agree to participate, including being recorded as described above.",Student,2nd Year,BRAC University ,CSE,Strongly Agree (5),Disagree (2),Agree (4),Disagree (2),Agree (4),Disagree (2),Strongly Agree (5),Disagree (2),Agree (4),Disagree (2),N/A,It's wayyy more convenient than switching between multiple apps and websites.,Yes,Yes,Much easier
8/30/2026 13:46:55,"I have read the above information and voluntarily agree to participate, including being recorded as described above.",Student,3rd Year,BRAC University ,Computer Science and Engineering ,Strongly Agree (5),Strongly Disagree (1),Agree (4),Strongly Disagree (1),Strongly Agree (5),Neutral (3),Strongly Agree (5),Strongly Disagree (1),Strongly Agree (5),Strongly Disagree (1),Not really. Seemed good. The UI might feel a bit overwhelming for someone who is using this for the first time but with time it is easily adaptable,Yeah definitely. Simple. Modular and well organised. Easy to track if anyone has missed a lot of classes,Yes,Yes,Somewhat easier
8/30/2026 13:47:35,"I have read the above information and voluntarily agree to participate, including being recorded as described above.",Student,3rd Year,BRAC University,Computer Science and Engineering,Strongly Agree (5),Disagree (2),Strongly Agree (5),Disagree (2),Neutral (3),Neutral (3),Agree (4),Strongly Disagree (1),Agree (4),Strongly Disagree (1),,The Idea to use a unified platform for every course,Yes,Yes,Much easier
8/30/2026 13:48:13,"I have read the above information and voluntarily agree to participate, including being recorded as described above.",Student,2nd Year,Brac,CSE,Agree (4),Disagree (2),Agree (4),Agree (4),Neutral (3),Disagree (2),Disagree (2),Disagree (2),Neutral (3),Neutral (3),No,Convenient ,Yes,No,Somewhat easier
8/30/2026 13:48:23,"I have read the above information and voluntarily agree to participate, including being recorded as described above.",Student,2nd Year,BRAC UNIVERSITY ,Cse,Agree (4),Agree (4),Agree (4),Agree (4),Agree (4),Disagree (2),Agree (4),Disagree (2),Agree (4),Strongly Disagree (1),"No, it felt like I was in Google classroom ",It was convenient as I could do everything under one app rather than switching between apps,Yes,Yes,Somewhat easier
8/30/2026 13:48:39,"I have read the above information and voluntarily agree to participate, including being recorded as described above.",Student,2nd Year,BracU,CS,Strongly Agree (5),Strongly Disagree (1),Strongly Agree (5),Strongly Disagree (1),Strongly Agree (5),Strongly Disagree (1),Strongly Agree (5),Strongly Disagree (1),Strongly Agree (5),Strongly Disagree (1),No,Course Materials ,Yes,Yes,Somewhat easier
8/30/2026 13:49:13,"I have read the above information and voluntarily agree to participate, including being recorded as described above.",Student,4th Year,Bracu,Cse,Agree (4),Agree (4),Agree (4),Agree (4),Agree (4),Agree (4),Agree (4),Agree (4),Agree (4),Agree (4),Yes confusion ,Yes i like that,Yes,Yes,Much harder
8/30/2026 13:50:00,"I have read the above information and voluntarily agree to participate, including being recorded as described above.",Student,4th Year,Brac University,Computer Science,Agree (4),Neutral (3),Agree (4),Disagree (2),Agree (4),Disagree (2),Neutral (3),Disagree (2),Neutral (3),Disagree (2),N/A,,Yes,No,Somewhat easier
8/30/2026 13:50:02,"I have read the above information and voluntarily agree to participate, including being recorded as described above.",Student,2nd Year,BRACU ,CSE,Neutral (3),Disagree (2),Neutral (3),Disagree (2),Neutral (3),Strongly Disagree (1),Neutral (3),Disagree (2),Disagree (2),Neutral (3),,,Yes,Yes,Somewhat easier
8/30/2026 13:50:12,"I have read the above information and voluntarily agree to participate, including being recorded as described above.",Student,3rd Year,BRACU,CSE,Strongly Agree (5),Strongly Disagree (1),Strongly Agree (5),Strongly Disagree (1),Strongly Agree (5),Strongly Disagree (1),Strongly Agree (5),Strongly Disagree (1),Strongly Agree (5),Strongly Disagree (1),No,It is like Google classroom,Yes,Yes,Much easier
8/30/2026 13:50:38,"I have read the above information and voluntarily agree to participate, including being recorded as described above.",Student,3rd Year,Brac University ,CSE,Agree (4),Disagree (2),Disagree (2),Disagree (2),Agree (4),Disagree (2),Agree (4),Disagree (2),Neutral (3),Disagree (2),Not really ,It was convenient ,Unsure,Unsure,About the same
8/30/2026 13:51:09,"I have read the above information and voluntarily agree to participate, including being recorded as described above.",Student,2nd Year,Brac University ,Cs,Neutral (3),Agree (4),Strongly Agree (5),Neutral (3),Agree (4),Neutral (3),Neutral (3),Neutral (3),Strongly Agree (5),Neutral (3),No,,Yes,Unsure,Much harder
8/30/2026 13:52:14,"I have read the above information and voluntarily agree to participate, including being recorded as described above.",Student,2nd Year,Brac University ,CS,Agree (4),Neutral (3),Neutral (3),Disagree (2),Agree (4),Disagree (2),Agree (4),Disagree (2),Agree (4),Neutral (3),Not really ,Yes because it will save a lot of time,Yes,Yes,Much easier
8/30/2026 13:52:42,"I have read the above information and voluntarily agree to participate, including being recorded as described above.",Student,2nd Year,Brac University ,CS,Strongly Disagree (1),Neutral (3),Disagree (2),Neutral (3),Neutral (3),Neutral (3),Neutral (3),Agree (4),Neutral (3),Neutral (3),,,Unsure,Yes,About the same
8/30/2026 21:53:24,"I have read the above information and voluntarily agree to participate, including being recorded as described above.",Student,1st Year,Brac University,Computer Science and Engineering ,Neutral (3),Neutral (3),Neutral (3),Neutral (3),Agree (4),Disagree (2),Neutral (3),Neutral (3),Neutral (3),Neutral (3),"UI is a bit confusing and looks very simple, but i think regular use will make the user get used to it.",,Yes,Yes,Somewhat harder
8/30/2026 22:01:23,"I have read the above information and voluntarily agree to participate, including being recorded as described above.",Student,1st Year,BRAC University,Computer Science and Engineering ,Agree (4),Disagree (2),Strongly Agree (5),Disagree (2),Agree (4),Disagree (2),Neutral (3),Strongly Disagree (1),Neutral (3),Disagree (2),,,Yes,Yes,Somewhat easier
8/30/2026 22:03:16,"I have read the above information and voluntarily agree to participate, including being recorded as described above.",Student,1st Year,BRAC University,Computer Science and Engineering (CSE),Agree (4),Strongly Disagree (1),Agree (4),Strongly Disagree (1),Disagree (2),Strongly Disagree (1),Neutral (3),Agree (4),Neutral (3),Strongly Disagree (1),,,Yes,Yes,About the same
8/30/2026 22:04:32,"I have read the above information and voluntarily agree to participate, including being recorded as described above.",Student,1st Year,Brac University ,CSE ,Agree (4),Disagree (2),Agree (4),Disagree (2),Agree (4),Strongly Disagree (1),Agree (4),Disagree (2),Agree (4),Disagree (2),,,Yes,Yes,About the same
8/30/2026 22:07:24,"I have read the above information and voluntarily agree to participate, including being recorded as described above.",Student,1st Year,Brac University ,CSE,Neutral (3),Neutral (3),Agree (4),Disagree (2),Agree (4),Disagree (2),Agree (4),Disagree (2),Agree (4),Disagree (2),,,Yes,Yes,About the same
8/30/2026 22:13:19,"I have read the above information and voluntarily agree to participate, including being recorded as described above.",Student,1st Year,Brac University ,CS,Strongly Agree (5),Disagree (2),Agree (4),Disagree (2),Agree (4),Disagree (2),Agree (4),Disagree (2),Agree (4),Disagree (2),,,Yes,Yes,Somewhat easier
8/30/2026 23:21:47,"I have read the above information and voluntarily agree to participate, including being recorded as described above.",Student,1st Year,Brac University,Cse,Strongly Agree (5),Strongly Disagree (1),Strongly Agree (5),Strongly Disagree (1),Strongly Agree (5),Strongly Disagree (1),Strongly Agree (5),Strongly Disagree (1),Strongly Agree (5),Strongly Disagree (1),"No, That was very clearcut and organised. I liked it","Obviously. For my case, I have to visit every time to various websites to know anything.Like i have to check slack, gmail, classroom, bux etc everyday to get informed about something or to reach my faculty. It is very good to have everything in one place",Yes,Yes,Much easier
8/30/2026 23:32:37,"I have read the above information and voluntarily agree to participate, including being recorded as described above.",Student,2nd Year,BRAC UNIVERSITY,CSE,Neutral (3),Disagree (2),Agree (4),Strongly Disagree (1),Neutral (3),Agree (4),Strongly Agree (5),Disagree (2),Disagree (2),Disagree (2),NO,YES,Unsure,Unsure,About the same
8/31/2026 20:15:15,"I have read the above information and voluntarily agree to participate, including being recorded as described above.",Student,1st Year,BRAC University,ESS,Strongly Agree (5),Strongly Disagree (1),Strongly Agree (5),Strongly Disagree (1),Agree (4),Strongly Disagree (1),Agree (4),Strongly Disagree (1),Agree (4),Strongly Disagree (1),Not Really ,I think I would like to use a centralized app rather than using different apps for communication for different faculties. ,Yes,Yes,About the same
