Timestamp,"Consent to Participate: Platform Use and Communication Survey

This survey is part of a research project at BRAC University studying how students and teachers manage communication across LMS platforms (e.g., Moodle, Google Classroom) and messaging apps (e.g., WhatsApp, Discord). It takes approximately 5-8 minutes.

Participation is completely voluntary. You may stop at any time by closing the form; partial responses will not be used.

This survey does not collect your name, email, student ID, or any other identifying information—your responses are fully anonymous and cannot be traced back to you.
There are no known risks to participating.

If you have questions about this research, you may contact [md.shamim.mia@g.bracu.ac.bd, israt.jahan.khan1@g.bracu.ac.bd, jamiul.haque.dipto@g.bracu.ac.bd].",1. What is your role?,2. What is your academic level/year of study? (if student),3. Name/Location of the university you are currently teaching/studying at?,4. What is your field of study/teaching?,5. Which LMS do you primarily use for your courses?,6. Which messaging platform(s) do you use alongside your LMS for course communication? (Select all that apply),"7. On average, how many separate platforms (LMS + messaging apps combined) do you use to keep up with a single course?","8. On a typical day, how many times do you switch between your LMS and messaging apps to check for course-related updates?",Mental Demand: How mentally demanding is it to keep track of information across your LMS and messaging apps?,"Physical Demand: How much physical effort (clicking, typing, switching apps/tabs, unlocking phone) does it take?",Temporal Demand: How rushed or under pressure do you feel from needing to constantly check multiple platforms?,Performance: How successful do you feel you are at keeping track of important course announcements and deadlines?,Effort: How much effort do you have to put in to coordinate and keep up with communication across platforms?,"Frustration: How irritated, stressed, or discouraged do you feel while managing communication across platforms?",1. How often do you miss an important deadline or announcement because it was posted on a platform you don't check regularly?,"2. ""I often feel like I've missed something important because course communication is spread across multiple platforms.""",3. Describe how your ideal learning management system should be? What features it should incorporate?,Overall_NASA_TLX,q8_num,miss_freq_num,miss_agree_num,q7_binary,uni_clean
8/27/2026 13:02:43,I have read the above information and voluntarily agree to participate.,Student,4th year,Brac University ,CSE,Google Classroom,"Discord, Slack",2,3-5 times,5,7,4,4,5,5,Rarely,Neutral,,5.0,2,2,3,Multi Channel (2+),BRAC University
8/27/2026 13:06:17,I have read the above information and voluntarily agree to participate.,Student,4th year,BRAC,CS,Google Classroom,"Discord, Slack",2,3-5 times,5,6,5,6,5,7,Sometimes,Neutral,,5.666666666666667,2,3,3,Multi Channel (2+),BRAC University
8/27/2026 13:17:06,I have read the above information and voluntarily agree to participate.,Student,4th year,BRAC University ,Computer Science,Google Classroom,"Discord, Messenger, Slack",1,3-5 times,5,1,5,1,3,5,Sometimes,Neutral,,3.3333333333333335,2,3,3,Single Channel (1),BRAC University
8/27/2026 13:24:04,I have read the above information and voluntarily agree to participate.,Student,3rd year,Bracu,CS,Discord ,"WhatsApp, Discord, Messenger, Slack",2,6-10 times,7,7,7,6,7,7,Often,Strongly Agree,Single. Canvas like lms,6.833333333333333,3,4,5,Multi Channel (2+),BRAC University
8/27/2026 13:36:35,I have read the above information and voluntarily agree to participate.,Student,3rd year,Brac University,CSE,Google Classroom,"Discord, Slack",2,6-10 times,5,3,4,2,6,3,Rarely,Disagree,All the courses using a single dedicated platform. Individual courses have their own dedicated channel. Dedicated bots in channel which will remind the students of the deadlines.,3.8333333333333335,3,2,2,Multi Channel (2+),BRAC University
8/27/2026 13:37:23,I have read the above information and voluntarily agree to participate.,Student,4th year,BRAC University,CSE,"Discord, classroom, slack","WhatsApp, Discord, Messenger, Slack",1,6-10 times,5,5,3,2,6,7,Sometimes,Neutral,I think we should maintain a singular platform to communicate in this matter. ,4.666666666666667,3,3,3,Single Channel (1),BRAC University
8/27/2026 13:41:39,I have read the above information and voluntarily agree to participate.,Student,3rd year,BRAC University ,CSE,Google Classroom,"WhatsApp, Discord, Messenger, Slack",2,6-10 times,5,4,6,4,5,5,Rarely,Agree,One system that would cover all the courses instructions and give additional notice 2 days before any deadline would be helpful.,4.833333333333333,3,2,4,Multi Channel (2+),BRAC University
8/27/2026 14:19:03,I have read the above information and voluntarily agree to participate.,Student,4th year,BRAC University ,CSE,Google Classroom,"Discord, Slack",2,3-5 times,6,2,2,1,2,2,Never,Disagree,Everything in one platform as a mobile app which can notify ,2.5,2,1,2,Multi Channel (2+),BRAC University
8/27/2026 16:46:24,I have read the above information and voluntarily agree to participate.,Student,3rd year,Bracu ,Cse,Google classroom ,Discord,3,11+ times,5,2,6,2,7,5,Sometimes,Strongly Agree,All academic communication in a single medium ,4.5,4,3,5,Multi Channel (2+),BRAC University
8/27/2026 17:36:54,I have read the above information and voluntarily agree to participate.,Student,3rd year,Ahsanullah University of Science and Technology ,CSE,Google Classroom,"WhatsApp, Messenger",2,3-5 times,5,4,4,2,5,5,Sometimes,Agree,Everything integrated in a single platform would be better for management and also push notification system so that no important announcement is missed,4.166666666666667,2,3,4,Multi Channel (2+),Other External Univ.
8/27/2026 17:57:26,I have read the above information and voluntarily agree to participate.,Student,3rd year,Aust,Cse,Google Classroom,"WhatsApp, Discord, Messenger",3,3-5 times,4,4,3,2,4,4,Sometimes,Neutral,More easier,3.5,2,3,3,Multi Channel (2+),AUST
8/27/2026 18:08:27,I have read the above information and voluntarily agree to participate.,Student,3rd year,Ahsanullah University of Science and Technology,CSE,Google Classroom,WhatsApp,1,0-2 times,1,1,2,1,2,2,Never,Strongly Disagree,,1.5,1,1,1,Single Channel (1),Other External Univ.
8/27/2026 19:36:29,I have read the above information and voluntarily agree to participate.,Student,4th year,BRACU,CS,Google Classroom,"Discord, Messenger",3,6-10 times,6,3,7,2,7,6,Rarely,Agree,Discord and nothing else,5.166666666666667,3,2,4,Multi Channel (2+),BRAC University
8/27/2026 19:49:52,I have read the above information and voluntarily agree to participate.,Student,2nd year,BRAC UNIVERSITY ,Computer Science and Engineering ,Google Classroom,"WhatsApp, Discord, Messenger, Slack",4 or more,6-10 times,7,4,7,3,5,7,Rarely,Agree,,5.5,3,2,4,Multi Channel (2+),BRAC University
8/27/2026 19:54:03,I have read the above information and voluntarily agree to participate.,Student,2nd year,BRAC University,BBA,Google Classroom,"WhatsApp, Messenger, Mail",2,3-5 times,5,6,4,1,7,4,Never,Neutral,There should be a single platform used for all the courses in our department. That would be easier.,4.5,2,1,3,Multi Channel (2+),BRAC University
8/27/2026 19:58:04,I have read the above information and voluntarily agree to participate.,Student,3rd year,Brac University ,Computer science ,Google Classroom,"Discord, Slack",2,3-5 times,5,2,5,2,5,4,Rarely,Agree,,3.8333333333333335,2,2,4,Multi Channel (2+),BRAC University
8/27/2026 20:07:15,I have read the above information and voluntarily agree to participate.,Student,3rd year,BRAC University,CSE,Discord,"Messenger, Slack",2,0-2 times,7,7,7,3,7,7,Rarely,Strongly Agree,,6.333333333333333,1,2,5,Multi Channel (2+),BRAC University
8/27/2026 21:20:27,I have read the above information and voluntarily agree to participate.,Student,3rd year,BRAC University ,CSE,Google Classroom,"Discord, Slack",2,0-2 times,4,4,5,4,6,2,Sometimes,Agree,Every course should operate using one particular platform.,4.166666666666667,1,3,4,Multi Channel (2+),BRAC University
8/27/2026 21:27:03,I have read the above information and voluntarily agree to participate.,Student,4th year,Brac University,CSE,Google Classroom,"Discord, Slack",2,3-5 times,4,7,7,6,6,5,Rarely,Strongly Agree,"all course in one platform where i will get notify from a single media. 
",5.833333333333333,2,2,5,Multi Channel (2+),BRAC University
8/27/2026 22:22:30,I have read the above information and voluntarily agree to participate.,Student,3rd year,BRAC University ,CSE,"Slack, Discord","Discord, Slack",2,0-2 times,3,4,4,2,4,3,Sometimes,Disagree,,3.3333333333333335,1,3,2,Multi Channel (2+),BRAC University
8/27/2026 23:03:51,I have read the above information and voluntarily agree to participate.,Student,4th year,Brac University,CSE,"google Classroom,Discord,slack","Discord, Slack",3,0-2 times,5,2,6,3,6,7,Rarely,Strongly Agree,keep one platform or build a new platform.,4.833333333333333,1,2,5,Multi Channel (2+),BRAC University
8/28/2026 12:02:10,I have read the above information and voluntarily agree to participate.,Student,3rd year,United International University,Computer Science and Engineering,Google Classroom,WhatsApp,2,0-2 times,4,6,7,3,6,7,Often,Strongly Agree,I would like if all the facilities I could have at a single platform because switching multiple platforms is such an irritating.,5.5,1,4,5,Multi Channel (2+),United International Univ.
8/28/2026 12:07:25,I have read the above information and voluntarily agree to participate.,Student,4th year,United International University,CSE,Moodle,"WhatsApp, Discord",2,3-5 times,5,5,4,6,5,5,Sometimes,Agree,"Group creation and group chat, supervisor searching features",5.0,2,3,4,Multi Channel (2+),United International Univ.
8/28/2026 12:20:44,I have read the above information and voluntarily agree to participate.,Student,2nd year,KUET ,EEE ,Google Classroom,WhatsApp,1,6-10 times,4,5,6,5,4,5,Sometimes,Disagree,,4.833333333333333,3,3,2,Single Channel (1),KUET
8/28/2026 12:20:51,I have read the above information and voluntarily agree to participate.,Student,2nd year,Bangladesh University of Health Sciences,Biochemistry and Cell Biology,Google Classroom,"WhatsApp, Messenger",2,3-5 times,3,2,2,1,7,2,Rarely,Disagree,"An ideal LMS should be a single, fast workspace that eliminates extra messaging apps.

Such as

Unified Messaging: Built-in chat for announcements, Q&A, and group work.

Master Calendar: Auto-synced deadlines, exams, and schedules across all courses.

Global Search: Instant search across all PDFs, slides, and notices.

Task Dashboard: Easy tracking of upcoming assignments and grades.

Smart Notifications: Custom alerts and quiet hours to prevent overload.",2.8333333333333335,2,2,2,Multi Channel (2+),Other External Univ.
8/28/2026 12:21:25,I have read the above information and voluntarily agree to participate.,Student,3rd year,Bangladesh University of health sciences ,Bph in Epidemiology anf Biostatistics ,Moodle,"WhatsApp, Mail",2,3-5 times,2,3,3,3,3,3,Never,Agree,,2.8333333333333335,2,1,4,Multi Channel (2+),Other External Univ.
8/28/2026 12:29:05,I have read the above information and voluntarily agree to participate.,Student,4th year,United international University ,CSE,Google Classroom,WhatsApp,2,0-2 times,4,3,4,2,4,4,Often,Neutral,,3.5,1,4,3,Multi Channel (2+),United International Univ.
8/28/2026 12:57:02,I have read the above information and voluntarily agree to participate.,Student,2nd year,KUET ,EEE,Telegram ,WhatsApp,3,6-10 times,4,5,3,5,4,5,Sometimes,Agree,"There should be an app with a reminder for deadlines, an AI built in to get the materials quickly, also everything should be there like an interactive platform, so i can access to everything of a course from one place or folder, and as i said, as for assignments, different notices, events, should be an another dedicated space with reminders and other necessary things ",4.333333333333333,3,3,4,Multi Channel (2+),KUET
8/28/2026 13:04:14,I have read the above information and voluntarily agree to participate.,Student,3rd year,Daffodil International University ,B.pharm,Google Classroom,"WhatsApp, Messenger",1,0-2 times,2,3,3,3,3,3,Sometimes,Neutral,,2.8333333333333335,1,3,3,Single Channel (1),Other External Univ.
8/28/2026 16:40:53,I have read the above information and voluntarily agree to participate.,Student,2nd year,KUET,EEE,Google Classroom,WhatsApp,2,0-2 times,7,7,7,4,7,6,Sometimes,Disagree,everything should be personalized such like the notices and facts should be informed personally via a separate platform. ,6.333333333333333,1,3,2,Multi Channel (2+),KUET
8/28/2026 19:08:27,I have read the above information and voluntarily agree to participate.,Student,4th year,Brac University,CSE,Google Classroom,"Discord, Slack",1,3-5 times,7,6,7,4,6,7,Sometimes,Strongly Agree,"communication, resource sharing, announcements should be in one platform. And the platform MUST be compatible to be responsive in every OS, so that the notifications are not missed. There must be option to choose which notification I want and which I do not.
",6.166666666666667,2,3,5,Single Channel (1),BRAC University
8/28/2026 21:20:10,I have read the above information and voluntarily agree to participate.,Student,Graduate,BRAC University ,MSC ,Google Classroom,Discord,2,3-5 times,3,3,3,2,5,3,Rarely,Neutral,"My ideal LMS should be simple, user-friendly, and well-organized. It should include easy access to lecture materials, assignments, quizzes, grades, announcements, deadlines, and class recordings. A good notification system, calendar, search option, and mobile-friendly interface would also make learning more convenient.",3.1666666666666665,2,2,3,Multi Channel (2+),BRAC University
8/28/2026 21:34:36,I have read the above information and voluntarily agree to participate.,Student,4th year,BRAC University,Computer Science,Slack,"Discord, Messenger, Slack",2,3-5 times,6,5,7,2,5,6,Rarely,Agree,"One single platform, devided by courses, then labs and thoeires. ",5.166666666666667,2,2,4,Multi Channel (2+),BRAC University
8/28/2026 22:41:41,I have read the above information and voluntarily agree to participate.,Student,1st year,Marks Medical College ,MBBS,Google Classroom,"Messenger, Slack",3,0-2 times,4,3,3,4,4,5,Rarely,Agree,"An ideal LMS should not only store learning materials but also plan, teach, assess, track, and personalize the entire learning process ",3.8333333333333335,1,2,4,Multi Channel (2+),Other External Univ.
8/28/2026 23:17:02,I have read the above information and voluntarily agree to participate.,Student,2nd year,Brac University ,BBA,Google Classroom,Messenger,2,11+ times,4,4,4,4,4,4,Sometimes,Neutral,,4.0,4,3,3,Multi Channel (2+),BRAC University
8/28/2026 23:22:53,I have read the above information and voluntarily agree to participate.,Student,4th year,BRAC University,Computer Science,Google Classroom,"Discord, Messenger, Slack",1,3-5 times,6,5,6,3,5,6,Sometimes,Agree,"An ideal LMS should be an adaptive, AI-powered ecosystem that delivers personalized learning pathways and real-time interactive collaboration.
It should eliminate administrative friction through automated workflows, predictive analytics, and seamless platform integrations.",5.166666666666667,2,3,4,Single Channel (1),BRAC University
8/29/2026 10:48:45,I have read the above information and voluntarily agree to participate.,Student,3rd year,Brac,Cae,Google Classroom,"WhatsApp, Discord, Slack",4 or more,11+ times,5,4,7,3,5,6,Often,Agree,,5.0,4,4,4,Multi Channel (2+),BRAC University
8/29/2026 10:49:00,I have read the above information and voluntarily agree to participate.,Student,4th year,Bracu University ,Cse,Google Classroom,"WhatsApp, Discord, Messenger, Slack",3,0-2 times,2,2,2,2,3,2,Sometimes,Agree,,2.1666666666666665,1,3,4,Multi Channel (2+),BRAC University
8/29/2026 10:49:17,I have read the above information and voluntarily agree to participate.,Student,2nd year,BRAC Universitu,CSE,Google Classroom,"WhatsApp, Discord, Messenger, Slack",3,6-10 times,4,3,4,5,4,4,Rarely,Neutral,,4.0,3,2,3,Multi Channel (2+),BRAC University
8/29/2026 10:51:01,I have read the above information and voluntarily agree to participate.,Student,2nd year,Brac University,CSE,Google Classroom,"Discord, Slack",1,3-5 times,3,3,5,2,4,6,Sometimes,Agree,"An app with everything in it. The materials, announcements, exam marks, attendance everything included in one particular app.",3.8333333333333335,2,3,4,Single Channel (1),BRAC University
8/29/2026 10:52:29,I have read the above information and voluntarily agree to participate.,Student,4th year,Bracu,Cse,Google Classroom,"Discord, Messenger, Slack",3,6-10 times,7,4,7,6,7,7,Often,Strongly Agree,Everyone should follow 1 single communication platform . ,6.333333333333333,3,4,5,Multi Channel (2+),BRAC University
8/29/2026 10:53:32,I have read the above information and voluntarily agree to participate.,Student,4th year,BRAC University,CSE,Google Classroom,"WhatsApp, Discord, Slack",1,3-5 times,3,3,4,2,3,4,Rarely,Neutral,,3.1666666666666665,2,2,3,Single Channel (1),BRAC University
8/29/2026 11:01:20,I have read the above information and voluntarily agree to participate.,Student,4th year,Brac University ,CSE,Google Classroom,"Discord, Slack",2,3-5 times,5,2,3,3,3,3,Sometimes,Neutral,,3.1666666666666665,2,3,3,Multi Channel (2+),BRAC University
8/29/2026 11:04:52,I have read the above information and voluntarily agree to participate.,Student,2nd year,BRAC University,CS,Google Classroom,"Discord, Slack",1,0-2 times,1,1,1,2,2,2,Never,Disagree,,1.5,1,1,2,Single Channel (1),BRAC University
8/29/2026 11:05:44,I have read the above information and voluntarily agree to participate.,Teacher,,BRAC University,CSE,Google Classroom,"Discord, Slack",2,6-10 times,6,5,7,4,6,7,Sometimes,Agree,Combination of Google Classroom and Discord,5.833333333333333,3,3,4,Multi Channel (2+),BRAC University
8/29/2026 11:19:32,I have read the above information and voluntarily agree to participate.,Student,2nd year,KUET ,EEE,Google Classroom,WhatsApp,4 or more,11+ times,5,4,2,3,2,1,Sometimes,Disagree,,2.8333333333333335,4,3,2,Multi Channel (2+),KUET
8/29/2026 12:08:17,I have read the above information and voluntarily agree to participate.,Student,1st year,BRAC University RS Campus in Savar,CSE,Google Classroom,"WhatsApp, Discord, Messenger, Slack",1,6-10 times,7,5,1,1,4,1,Never,Strongly Disagree,More and more study materials and resources like quiz questions and past exam term questions should be provided ,3.1666666666666665,3,1,1,Single Channel (1),BRAC University
8/29/2026 12:55:23,I have read the above information and voluntarily agree to participate.,Teacher,,BRAC University,CSE,Slack,Slack,1,0-2 times,5,6,5,4,4,6,Rarely,Agree,One platform combining all the features so that I don't have to switch to multiple platforms. ,5.0,1,2,4,Single Channel (1),BRAC University
8/29/2026 12:56:12,I have read the above information and voluntarily agree to participate.,Student,2nd year,Bracu,Cse,Google Classroom,"Discord, Slack",1,3-5 times,4,7,7,4,7,7,Rarely,Strongly Agree,I think every uni should rely on one platform. But other secondary options can be kept in the time of special cases when particular platform is not available. ,6.0,2,2,5,Single Channel (1),BRAC University
8/29/2026 13:03:28,I have read the above information and voluntarily agree to participate.,Student,4th year,Bracu,Cse,Google Classroom,Discord,3,6-10 times,7,7,7,1,7,7,Often,Strongly Agree,All in one ,6.0,3,4,5,Multi Channel (2+),BRAC University
8/29/2026 13:51:30,I have read the above information and voluntarily agree to participate.,Student,2nd year,BRACU/RAMPURA,Cs,Moodle,"WhatsApp, Discord, Messenger, Slack",4 or more,0-2 times,5,2,4,2,4,6,Sometimes,Strongly Disagree,"Preferably just one official university student portal where students can communicate personally, teachers and faculty can post their stuff, classwork, assignment, set up meetings etc.",3.8333333333333335,1,3,1,Multi Channel (2+),BRAC University
8/29/2026 19:57:26,I have read the above information and voluntarily agree to participate.,Student,4th year,BRAC University,CS,Google Classroom,"Discord, Slack",2,3-5 times,6,5,7,5,6,7,Often,Strongly Agree,"Recently I installed an app called ""PreConnect."" I found this app very effective and practical. If we could use one app where we get uni facilities and also all the class info, it would be better. 
 ",6.0,2,4,5,Multi Channel (2+),BRAC University
8/30/2026 3:20:19,I have read the above information and voluntarily agree to participate.,Student,Graduate,BRAC University ,Computer Science and Engineering ,Google Classroom,"WhatsApp, Discord, Messenger, Slack",4 or more,3-5 times,2,1,2,2,1,2,Never,Disagree,Something similar to BUX,1.6666666666666667,2,1,2,Multi Channel (2+),BRAC University
8/30/2026 8:45:01,I have read the above information and voluntarily agree to participate.,Student,Graduate,BRAC University,CSE,Discord,"Discord, Slack",1,0-2 times,2,2,1,1,1,2,Never,Disagree,,1.5,1,1,2,Single Channel (1),BRAC University
8/30/2026 10:12:07,I have read the above information and voluntarily agree to participate.,Student,4th year,Brac university,Cse,Google Classroom,"WhatsApp, Discord, Messenger, Slack",2,3-5 times,4,4,7,1,4,4,Rarely,Strongly Agree,,4.0,2,2,5,Multi Channel (2+),BRAC University
8/30/2026 12:09:32,I have read the above information and voluntarily agree to participate.,Student,4th year,Brac University ,CSE,Google Classroom,Messenger,2,3-5 times,4,4,4,4,4,4,Sometimes,Neutral,,4.0,2,3,3,Multi Channel (2+),BRAC University
8/30/2026 12:10:48,I have read the above information and voluntarily agree to participate.,Student,3rd year,BRAC University ,Computer Science ,Google Classroom,"Discord, Messenger, Slack",2,3-5 times,6,4,6,5,7,7,Rarely,Agree,,5.833333333333333,2,2,4,Multi Channel (2+),BRAC University
8/30/2026 12:10:50,I have read the above information and voluntarily agree to participate.,Student,3rd year,Brac,cse,Google Classroom,Messenger,2,0-2 times,4,4,4,4,4,4,Rarely,Neutral,,4.0,1,2,3,Multi Channel (2+),BRAC University
8/30/2026 12:12:33,I have read the above information and voluntarily agree to participate.,Student,4th year,Brac University ,CSE,Google Classroom,"WhatsApp, Discord, Messenger, Slack",4 or more,3-5 times,6,6,7,6,4,7,Often,Agree,,6.0,2,4,4,Multi Channel (2+),BRAC University
8/30/2026 12:13:43,I have read the above information and voluntarily agree to participate.,Student,4th year,Brac university ,Cse,Google Classroom,"WhatsApp, Discord, Messenger, Slack",2,3-5 times,5,3,5,6,5,5,Sometimes,Agree,One plate form for all the course a student us currently enrolled in. All  course related announcement having in same place for each course would be very helpful.,4.833333333333333,2,3,4,Multi Channel (2+),BRAC University
8/30/2026 12:13:46,I have read the above information and voluntarily agree to participate.,Student,3rd year,BRAC University ,Computer Science and Engineering ,Google Classroom,"Discord, Messenger, Slack",2,3-5 times,4,2,2,2,3,1,Rarely,Strongly Disagree,"Nothing needs to be more accurate.... it's perfect the way it is... although there should be separate marks dashboard like that of CSE421,CSE220 for other courses too",2.3333333333333335,2,2,1,Multi Channel (2+),BRAC University
8/30/2026 12:14:34,I have read the above information and voluntarily agree to participate.,Student,3rd year,Brac University ,Computer science ,Google Classroom,"Discord, Slack",4 or more,6-10 times,6,6,6,4,5,5,Sometimes,Agree,,5.333333333333333,3,3,4,Multi Channel (2+),BRAC University
8/30/2026 12:14:38,I have read the above information and voluntarily agree to participate.,Student,3rd year,BRAC University ,Computer Science and Engineering,Google Classroom,"Discord, Slack",4 or more,11+ times,2,2,2,6,7,7,Often,Strongly Agree,,4.333333333333333,4,4,5,Multi Channel (2+),BRAC University
8/30/2026 12:14:54,I have read the above information and voluntarily agree to participate.,Student,4th year,BRAC University ,CSE ,"Discord, Slack, Google classroom","WhatsApp, Discord, Messenger, Slack",4 or more,6-10 times,6,7,6,4,6,7,Sometimes,Strongly Agree,,6.0,3,3,5,Multi Channel (2+),BRAC University
8/30/2026 12:15:41,I have read the above information and voluntarily agree to participate.,Student,4th year,BRAC University,CSE,Moodle,"Discord, Slack",3,6-10 times,5,7,6,1,7,7,Sometimes,Strongly Agree,"A unified platform where everything is posted at the same place, instead of switching from platform to platform",5.5,3,3,5,Multi Channel (2+),BRAC University
8/30/2026 12:15:59,I have read the above information and voluntarily agree to participate.,Student,4th year,Badda,CSE,Slack,Discord,3,3-5 times,6,6,6,6,6,6,Often,Agree,,6.0,2,4,4,Multi Channel (2+),Other External Univ.
8/30/2026 12:16:09,I have read the above information and voluntarily agree to participate.,Student,4th year,Brac,Cse,Google Classroom,"Discord, Slack",2,3-5 times,6,3,6,2,6,7,Sometimes,Agree," A central system for all courses, once the course is done it should be removed",5.0,2,3,4,Multi Channel (2+),BRAC University
8/30/2026 12:17:33,I have read the above information and voluntarily agree to participate.,Student,4th year,BRACU,CSE,Google Classroom,"Discord, Slack",1,3-5 times,4,1,2,5,4,2,Sometimes,Agree,In a central manner with reminder features ,3.0,2,3,4,Single Channel (1),BRAC University
8/30/2026 12:17:35,I have read the above information and voluntarily agree to participate.,Student,4th year,Bracu university ,CSE,Google Classroom,"Discord, Messenger, Slack",1,3-5 times,3,3,1,1,2,3,Never,Strongly Disagree,,2.1666666666666665,2,1,1,Single Channel (1),BRAC University
8/30/2026 12:17:45,I have read the above information and voluntarily agree to participate.,Student,4th year,BRAC University ,Study,Google Classroom,"Discord, Messenger, Slack",1,0-2 times,5,5,2,7,2,3,Rarely,Neutral,..,4.0,1,2,3,Single Channel (1),BRAC University
8/30/2026 12:17:50,I have read the above information and voluntarily agree to participate.,Student,4th year,Brac University ,CSE,Google Classroom,"WhatsApp, Discord, Messenger, Slack",2,3-5 times,3,3,2,2,3,4,Rarely,Strongly Agree,At least something that can host every course communication methods so that I don’t have to check multiple platforms only to loose track for one of it . Somewhere all the study materials are also present so that I don’t have to check through all my drive or study resources to loose track again,2.8333333333333335,2,2,5,Multi Channel (2+),BRAC University
